Here are the characters returned by the scanner:
    line col   char
    15   3     t
    15   4     a
    15   5        space
    15   6     =
    15   7        space
    15   8     a
    15   9     l
    15  10     p
    15  11     h
    15  12     a
    15  13        space
    15  14     /
    15  15        space
    15  16     b
    15  17     e
    15  18     t
    15  19     a
    15  20        space
    15  21     ;
    15  22        newline
    16   0     p
    16   1     r
    16   2     i
    16   3     n
    16   4     t
    16   5        space
    16   6     "
    16   7     V
    16   8     a
    16   9     l
    16  10     u
    16  11     e
    16  12        space
    16  13     o
    16  14     f
    16  15        space
    16  16     "
    16  17        space
    16  18     |
    16  19     |
    16  20        space
    16  21     r
    16  22     e
    16  23     s
    16  24     u
    16  25     l
    16  26     t
    16  27     N
    16  28     a
    16  29     m
    16  30     e
    16  31        space
    16  32     |
    16  33     |
    16  34        space
    16  35     "
    16  36        space
    16  37     i
    16  38     s
    16  39     :
    16  40        space
    16  41     "
    16  42        space
    16  43     ;
    16  44        newline
    17   0     p
    17   1     r
    17   2     i
    17   3     n
    17   4     t
    17   5        space
    17   6     d
    17   7     e
    17   8     l
    17   9     t
    17  10     a
    17  11        space
    17  12     ;
    17  13        newline
    18   0     p
    18   1     r
    18   2     i
    18   3     n
    18   4     t
    18   5        space
    18   6     "
    18   7     \
    18   8     n
    18   9     "
    18  10        space
    18  11     ;
    18  12        eof
